E_z,Grouping_error,Element_ID,E_z after Grouping,Amount of Elements in Group
7165.307472210001,205.43034576555056,15630,,
7157.799758219998,197.92263177554742,13345,,
7155.425685369999,195.5485589255486,18771,,
7154.66227815,194.78515170554965,1081,,
7154.3786349599995,194.50150851554918,20963,,
7150.15758886,190.28046241554966,2970,,
7124.189842930001,164.31271648555048,21435,,
7082.448930130001,122.57180368555055,16561,,
7078.82665056,118.94952411555005,8197,,
7071.725696680002,111.84857023555196,9892,,
7071.590935160001,111.71380871555084,10391,,
7057.993790139998,98.11666369554769,16017,,
7048.468890329998,88.59176388554806,10177,,
7024.45180533,64.57467888554947,21926,,
7014.534102059999,54.65697561554862,15732,,
7009.549097209999,49.671970765548394,14950,,
7006.768063599996,46.890937155545544,1266,,
7000.72569207,40.84856562554978,13906,,
6997.45673934,37.57961289554987,149,,
6979.463055589999,19.585929145549017,6652,,
6970.623082199998,10.745955755547584,5222,,
6965.211167650002,5.33404120555133,9639,,
6963.3038436299985,3.4267171855481138,17797,,
6956.127044619999,3.7500818244516267,6584,,
6953.7570649300005,6.120061514449844,22585,,
6941.85689593,18.020230514450304,16658,,
6920.654153569999,39.22297287445144,18974,,
6918.977964089996,40.89916235445435,3531,,
6906.85292631,53.02420013445044,22439,,
6906.668620430002,53.208506014448176,5317,,
6902.7519653399995,57.125161104450854,17856,,
6900.085997459999,59.79112898445146,19268,,
6890.058532169999,69.81859427445124,18332,,
6887.159590779999,72.71753566445113,12865,,
6882.83472691,77.04239953444994,3856,,
6868.66920947,91.2079169744502,19270,,
6846.92527804,112.95184840445017,14872,,
6846.061068629999,113.8160578144516,20735,,
6834.638528970001,125.2385974744493,8145,,
6816.7057578600015,143.17136858444883,16926,,
6809.830643309999,150.0464831344516,14603,,
6807.91304026,151.96408618445003,6762,,
6797.22765734,162.64946910444996,10687,,
6794.311997509999,165.56512893445142,10770,,
6786.430237679999,173.44688876445161,14381,,
6784.05747997,175.81964647445056,17998,,
6771.646879650001,188.23024679444916,10351,,
6751.237602249999,208.63952419445104,8860,,
6727.39396794,232.48315850445033,21508,,
6722.072182779999,237.80494366445146,19636,,
6711.380901440002,248.4962250044482,18099,,
6710.436167589999,249.4409588544513,13692,,
6706.38443473,253.4926917144503,7434,,
6705.23265184,254.6444746044508,15230,,
6699.808836119999,260.0682903244515,14718,,
6699.271363959999,260.6057624844516,12972,,
6690.72961247,269.1475139744507,19223,,
6683.453151420001,276.42397502444965,12892,,
6677.165511909999,282.71161453445166,19708,,
6650.76666907,309.11045737445056,19949,,
6648.43356939,311.44355705445014,5461,,
6645.37321198,314.50391446445065,8525,,
6641.48913435,318.38799209445006,7803,,
6636.573816359999,323.30331008445137,15715,,
6635.31279034,324.5643361044504,5571,,
6628.462334630001,331.414791814449,11614,,
6618.49533322,341.3817932244501,2631,,
6614.22882932,345.64829712445044,6170,,
6613.715778510003,346.1613479344478,9326,,
6611.844751310001,347.95533750999584,14527,,
6589.537817949999,325.64840414999435,5194,,
6589.25484522,325.3654314199948,1794,,
6582.365264689998,318.4758508899931,17710,,
6579.932267299999,316.0428534999937,16096,,
6565.578757960002,301.68934415999684,11486,,
6564.9191339,301.02972009999485,20024,,
6557.38119237,293.4917785699945,18880,,
6550.343093349999,286.4536795499944,17077,,
6545.355238439998,281.4658246399931,3767,,
6538.221032280001,274.331618479996,5552,,
6537.93152451,274.04211070999463,20056,,
6537.215246730001,273.32583292999607,22584,,
6525.3040067,261.4145928999951,14042,,
6513.898202769999,250.00878896999438,7399,,
6495.8048481099995,231.91543430999445,4225,,
6484.468134330001,220.57872052999573,11562,,
6482.806415079999,218.9170012799941,17766,,
6461.147509359998,197.2580955599933,20782,,
6456.297829029998,192.4084152299929,17887,,
6439.82269933,175.93328552999537,7106,,
6439.57607799,175.6866641899951,4559,,
6423.14908084,159.2596670399953,4051,,
6416.420594919999,152.53118111999356,19551,,
6405.20111319,141.31169938999483,17466,,
6404.942436210002,141.05302240999663,8512,,
6404.590401059997,140.70098725999196,4839,,
6389.64378129,125.75436748999527,14295,,
6374.3540108900015,110.46459708999646,17792,,
6366.9761159,103.08670209999491,9342,,
6350.44348367,86.55406986999515,16215,,
6344.525395509999,80.63598170999376,11044,,
6326.459345559998,62.56993175999287,17854,,
6305.07455524,41.18514143999528,19341,,
6302.344812769998,38.45539896999253,6923,,
6301.730059599999,37.84064579999358,16571,,
6300.652242569998,36.762828769992666,2659,,
6271.95928655,8.069872749994829,4320,,
6266.70794144,2.8185276399944996,14437,,
6265.12107296,1.231659159994706,4522,,
6263.18228224,0.7071315600051093,20265,,
6257.611466279998,6.277947520006819,18979,,
6257.585109119999,6.304304680005771,834,,
6254.8552319,9.034181900005024,19209,,
6250.49488575,13.394528050004737,21054,,
6245.211296550001,18.678117250004107,20193,,
6242.3935410899985,21.49587271000655,15090,,
6235.25805586,28.63135794000482,6154,,
6227.155621939999,36.73379186000602,10976,,
6225.769383749999,38.12003005000588,18269,,
6201.521496770002,62.3679170300029,9489,,
6195.14083121,68.74858259000484,17441,,
6193.44588624,70.44352756000535,11448,,
6176.819868300001,87.0695455000041,22438,,
6174.941308300001,88.9481055000042,13486,,
6171.236482340001,92.65293146000386,16776,,
6167.825857849998,96.06355595000696,21063,,
6161.750340850001,102.13907295000445,1234,,
6160.46819543,103.42121837000468,21764,,
6155.0178888300015,108.87152497000352,1358,,
6145.84921995,118.04019385000538,16697,,
6145.577451129999,118.31196267000632,4936,,
6127.600359189999,136.28905461000613,19709,,
6125.075667330001,138.81374647000393,15656,,
